,n_components,n_clusters,c_npmi_mean,u_mass_mean,dist_mean,score_mean,bucket_A_rate,bucket_B_rate,bucket_C_rate
8,40,30,0.10843428545112008,-1.6923824708510904,0.20057015319665272,0.35887521640836995,0.5333333333333333,0.3333333333333333,0.13333333333333333
20,50,70,0.11534577497880757,-1.726120614189215,0.19242055831210955,0.4510056619996876,0.5285714285714286,0.34285714285714286,0.12857142857142856
18,50,50,0.10250721618203391,-1.6945236365426688,0.20379502862691878,0.26179638661584087,0.5,0.32,0.18
23,50,100,0.1061720867989048,-1.865429094536688,0.18251242563128472,0.25579091142379595,0.5,0.27,0.23
22,50,90,0.10443062803810763,-1.7864907785431883,0.18534849054283567,0.3207504922727011,0.4777777777777778,0.36666666666666664,0.15555555555555556
29,60,80,0.10346552254661959,-1.9069487237234442,0.19981116661801934,0.027114043495602768,0.475,0.275,0.25
31,60,100,0.10263529370503244,-1.8155607778442056,0.19483245514333247,0.18379254788823662,0.46,0.33,0.21
26,60,50,0.10122715674412594,-1.939286299836076,0.21576566264033317,-0.1732123979135845,0.44,0.3,0.26
32,70,30,0.10458006805137439,-1.6324038593195627,0.2465808982650439,0.013229343862678898,0.43333333333333335,0.23333333333333334,0.3333333333333333
28,60,70,0.10736405862543649,-1.9276485934300707,0.20537076283778463,-0.008807247810247871,0.42857142857142855,0.34285714285714286,0.22857142857142856
30,60,90,0.10383376896223614,-1.9072735026104755,0.1986011510921849,0.04054623256619682,0.4222222222222222,0.34444444444444444,0.23333333333333334
17,50,40,0.10569336670835545,-1.689589593599773,0.21088969372212887,0.24832916192928972,0.4,0.425,0.175
37,70,80,0.10013554528636545,-1.7913701892984264,0.2133789237588644,0.03506569133770991,0.4,0.325,0.275
27,60,60,0.09651539344658717,-2.018523793520003,0.21211367038389048,-0.295937022864582,0.4,0.38333333333333336,0.21666666666666667
25,60,40,0.09484220907385334,-1.9355296570013607,0.2236069468781352,-0.2978410537986392,0.4,0.325,0.275
36,70,70,0.1039021078261925,-1.9483096830994424,0.22122023840035712,-0.20471848782362306,0.38571428571428573,0.38571428571428573,0.22857142857142856
33,70,40,0.09709522628316837,-1.7822218235886655,0.24483843185007573,-0.24816860329618998,0.375,0.275,0.35
39,70,100,0.09229159689604924,-1.9371778635924088,0.20632789582014083,-0.17974793383949983,0.37,0.33,0.3
35,70,60,0.10425252653128908,-1.7999117723185372,0.22384596491853395,-0.023703242438690826,0.36666666666666664,0.38333333333333336,0.25
38,70,90,0.09738805333395742,-1.8492103492134162,0.2112099507616626,-0.05181977161320394,0.36666666666666664,0.36666666666666664,0.26666666666666666
45,80,80,0.10000904524769225,-1.795598745086864,0.22570025641471148,-0.07578049234549884,0.3625,0.325,0.3125
34,70,50,0.10051534944647614,-1.7920493622255682,0.23786522209644317,-0.16854336185963817,0.34,0.36,0.3
24,60,30,0.09534532435650968,-1.6721805192037567,0.2327845628062884,-0.015887704552704975,0.3333333333333333,0.4,0.26666666666666666
46,80,90,0.09835323496664837,-1.8279253071845993,0.2231498816774951,-0.11425375989017861,0.3333333333333333,0.35555555555555557,0.3111111111111111
43,80,60,0.09736265035261302,-1.9151607035557683,0.2378804687410593,-0.3657023966821849,0.3333333333333333,0.38333333333333336,0.2833333333333333
47,80,100,0.0998200226872668,-1.9073465797493654,0.222536451369524,-0.20133949911279608,0.33,0.39,0.28
52,90,70,0.10713750387411233,-1.7680898062149815,0.24017632454633714,-0.08986958859388157,0.32857142857142857,0.37142857142857144,0.3
44,80,70,0.09834762733526066,-1.9120717841429362,0.23235894111650332,-0.30518144436542105,0.32857142857142857,0.35714285714285715,0.3142857142857143
42,80,50,0.09464137176486911,-1.7861105526268781,0.2414226157963276,-0.2490260405253625,0.32,0.38,0.3
55,90,100,0.0896976869572958,-2.0137760840799697,0.23158379323780537,-0.5215984349740452,0.31,0.35,0.34
57,100,40,0.09916453093547868,-1.6750997636373792,0.2726846575737,-0.3182450720781226,0.3,0.375,0.325
67,110,60,0.0991707548566778,-1.8256203724263287,0.2729463217159112,-0.5229133542448116,0.3,0.35,0.35
62,100,90,0.09756630657023316,-1.7855556654406501,0.2422044225037098,-0.22575378299810775,0.28888888888888886,0.36666666666666664,0.34444444444444444
61,100,80,0.0980363905930498,-1.8184223332641765,0.24744735434651374,-0.30950583613432925,0.2875,0.375,0.3375
50,90,50,0.1066192617877369,-1.7193407403684609,0.2604292777180672,-0.20021675336076206,0.28,0.4,0.32
41,80,40,0.09322176292169324,-1.7520767649252218,0.25314923711121085,-0.3162489371886657,0.275,0.4,0.325
53,90,80,0.0969563587476061,-1.9109034811425132,0.2349534032866359,-0.33933709259657896,0.275,0.4125,0.3125
